Job_Title,Company_Name,Salary,Working_Status,Working_Type,Skills,Employee,Industry,Location,Date
Software Engineer,Synqly ,224550,Full-time,Remote,"['Back-EndWebDevelopment', 'Early-StageStartups', 'Git', 'Go(ProgrammingLanguage)', 'Kubernetes', 'PassionateaboutWork', 'PresentationSkills', 'SkillDevelopment', 'SoftwareasaService(SaaS)', 'Test-DrivenDevelopment']",1-10 employees,, San Francisco Bay Area,3 days ago
Software Engineer,Power Breezer ,90000,Full-time,Hybrid,"['.NETFramework', 'C#', 'CleanCoding', 'Engineering', 'EntityFramework', 'Learning', 'React.js', 'SkillDevelopment', 'SoftwareDevelopment', 'TechSavy']",51-200 employees,," Charlotte, NC",1 week ago
Software Engineer intern,Lockheed Martin ,18643,Full-time,Hybrid,"['Java', 'C(ProgrammingLanguage)', 'C#', 'Communication', 'ComputerEngineering', 'ComputerScience', 'InterpersonalSkills', 'Object-orientedSoftware', 'OralCommunication', 'SoftwareDevelopment']","10,001+ employees ", Defense and Space Manufacturing," Littleton, CO",1 week ago
Software Engineer,ADARA Networks ,13311,Full-time,Remote,"['C++', 'C(ProgrammingLanguage)', 'IPAddressing', 'Iptables', 'OpenvSwitch', 'POSIX', 'RoutingProtocols', 'SocketProgramming']",51-200 employees,, United States,1 week ago
Software Engineer,Career Climbers ,83520,Full-time,Hybrid,"['.NETFramework', 'CodeReview', 'KafkaStreams', 'Learning', 'Microservices', 'Operations', 'Plays', 'ProtocolBuffers', 'SkillDevelopment', 'SoftwareSolutions']",1-10 employees,, Greater Chicago Area,1 week ago
Software Engineer,Jaco ,130000,Full-time,On-site,"['CapacityPlanning', 'ComputerScience', 'ConstructiveFeedback', 'H', 'leConfidentialInformation', 'JSON', 'ManagementInformationSystems(MIS)', 'Multi-UnitManagement', 'PointofSale(POS)Systems', 'RootCause', 'RootCauseAnalysis']",201-500 employees,," Bakersfield, CA",6 days ago
,Hexaware Technologies ,234096,Full-time,On-site,"['ActiveDirectory', 'Angular', 'BusinessRules', 'Dashboards', 'DataArchitecture', 'LDAP', 'Pages', 'ServiceNow', 'Tableau', 'TestPlanning']","10,001+ employees ", IT Services and IT Consulting," McLean, VA",6 days ago
Software Engineer,Amazon ,198000,Full-time,On-site,"['CodingSt', 'ards', 'ProgrammableLogicController(PLC)', 'Programming', 'ProgrammingLanguages', 'Prototyping']","10,001+ employees ", Software Development," Bellevue, WA Reposted  2 weeks ago",2 weeks ago
Software Engineer,Alliant Credit Union ,351421,Full-time,Hybrid,"['ApplicationDevelopment', 'BusinessSolutionsDevelopment', 'ComputerScience', 'KnowledgeAcquisition', 'ProcessEnhancement', 'ProgrammingConcepts', 'SoftwareDevelopmentTools', 'SoftwareSolutionDevelopment', 'Stack', 'StructuredProgramming']","501-1,000 employees ", Financial Services," Chicago, IL",5 days ago
Software Engineer intern,Khan Academy ,41364,Full-time,Remote,"['CulturalCompetency', 'Fosteringinclusivity', 'PerformanceMotivation']",51-200 employees , E-Learning Providers," Mountain View, CA",5 hours ago
Software Engineer,Revature ,300882,Full-time,On-site,"['C(ProgrammingLanguage)', 'C#', 'C++', 'CascadingStyleSheets(CSS)', 'Django', 'HTML', 'Java', 'JavaScript', 'Node.js', 'SQL']","1,001-5,000 employees ", IT Services and IT Consulting," Cherry Hill, NJ",6 days ago
Software Engineer,BeaconFire Inc. ,66929,Full-time,On-site,"['ASP.NET', 'C#', 'CascadingStyleSheets(CSS)', 'HTML', 'JavaScript', 'Office365', 'Powershell', 'SharePoint', 'SharePointAdministration', 'SoftwareDevelopmentLifeCycle(SDLC)']",201-500 employees , IT Services and IT Consulting," Atlanta, GA",6 days ago
Software Engineer,John Deere ,146782,Full-time,On-site,"['ABAP', 'ALE', 'AugmentedReality(AR)', 'CPI', 'SAPERP', 'SAPFICO', 'SAPFiori', 'SAPXI', 'ServiceWork', 'StatutoryAccountingPrinciples(SAP)']","10,001+ employees ", Machinery Manufacturing," Moline, IL",5 days ago
Software Engineer,Understanding Recruitment ,65872,Full-time,Hybrid,"['AmazonWebServices(AWS)', 'Blockchain', 'DockerProducts', 'FinTech', 'Finance', 'GraphQL', 'JavaScript', 'Node.js', 'React.js', 'TypeScript']",51-200 employees , Staffing and Recruiting, New York City Metropolitan Area,3 weeks ago
Software Engineer intern,Garmin ,114056,Full-time,On-site,"['C(ProgrammingLanguage)', 'C#', 'C++', 'DataStructures', 'Debuggers', 'Garmin', 'Java', 'Methodology', 'ObjectOrientedDesign', 'Object-OrientedProgramming(OOP)']","10,001+ employees ", Consumer Electronics," Olathe, KS Reposted  2 weeks ago",2 weeks ago
Software Engineer,Thomson Reuters ,146718,Full-time,Remote,"['Algorithms', 'Communication', 'ComputerScience', 'CriticalThinking', 'QualityAssurance', 'SkillDevelopment', 'SoftwareDevelopment', 'Stack', 'UserInterfaceDesign', 'XML']","10,001+ employees ", Software Development," Rochester, NY",5 hours ago
Software Engineer,eBay ,170450,Full-time,Hybrid,"['Algorithms', 'Communication', 'ConstructiveFeedback', 'DataStructures', 'DatabaseSystems', 'Optimization', 'ProblemSolving', 'RequirementsGathering', 'SoftwareDevelopment', 'TechnicalSpecs']","10,001+ employees "," Technology, Information and Internet"," San Jose, CA",2 weeks ago
Software Engineer,Ender-IT ,263968,Full-time,On-site,"['AmazonEC2', 'ApacheKafka', 'CloudComputing', 'ComputerScience', 'FrameworkDesign', 'Java', 'RESTAPIs', 'SnowflakeCloud', 'SoftwareDevelopmentLifeCycle(SDLC)', 'SpringFramework']",11-50 employees , IT Services and IT Consulting," Omaha, NE",3 hours ago
Software Engineer,IBM ,203800,Full-time,On-site,"['APIDevelopment', 'Annotation', 'CascadingStyleSheets(CSS)', 'ComputerScience', 'D3.js', 'JavaScript', 'QualityAssurance', 'React.js', 'WebApplications', 'npm']","10,001+ employees ", IT Services and IT Consulting," San Jose, CA Reposted  5 days ago",5 days ago
Software Engineer,Walmart ,384559,Full-time,Hybrid,"['AnalyticalSkills', 'Angular', 'Communication', 'ComputerScience', 'DataStructures', 'GoogleCloudPlatform(GCP)', 'Java', 'MicrosoftAzure', 'ProblemSolving', 'Python(ProgrammingLanguage)']","10,001+ employees ", Retail," Dallas, TX",6 days ago
Software Engineer intern,Spectrum ,56601,Full-time,On-site,"['JavaScript', 'ProblemSolving', 'Programmes', 'Programming', 'ProgrammingLanguages', 'SQL', 'SoftwareDevelopmentLifeCycle(SDLC)', 'TechnicalDesign']","10,001+ employees ", Telecommunications," St Louis, MO Reposted  4 days ago",4 days ago
Software Engineer intern,Lockheed Martin ,44096,Full-time,Remote,"['Python(ProgrammingLanguage)', 'SoftwareDevelopment', 'SoftwareDevelopmentMethodologies']","10,001+ employees ", Defense and Space Manufacturing," Owego, NY",2 days ago
Software Engineer,JPMorgan Chase & Co. ,168229,Full-time,On-site,"['BusinessRequirements', 'Cucumber', 'DefiningRequirements', 'DesignSpecifications', 'Documentation', 'Microservices', 'PerformanceTesting', 'ProjectPlanning', 'SoftwareDevelopment', 'TechnicalRequirements']","10,001+ employees ", Financial Services," Plano, TX Reposted  1 day ago",1 day ago
Software Engineer intern,Microsoft ,10575,Full-time,Hybrid,"['Algorithms', 'ComputerScience', 'DataStructures', 'DefiningRequirements', 'ProductRequirements', 'Programming', 'SchoolSystems', 'SoftwareProjects', 'WellCompletion', 'XML']","10,001+ employees ", Software Development," Minneapolis, MN",1 week ago
Software Engineer intern,AVEVA ,73000,Full-time,Remote,"['ComputerEngineering', 'ComputerScience', 'Debugging', 'ProblemSolving']","5,001-10,000 employees ", Software Development," Houston, TX",4 days ago
Software Engineer,Broadcom ,104000,Full-time,On-site,"['CLIST', 'COBOL', 'Debugging', 'ISPF', 'JobControlLanguage(JCL)', 'JobSkills', 'Originality', 'ProblemSolving', 'ProjectLeadership', 'REXX']","10,001+ employees ", Semiconductor Manufacturing," Plano, TX",6 days ago
Software Engineer,Lumicity ,21416,Full-time,On-site,"['C++', 'ComputerVision', 'DeepLearning', 'ImageProcessing', 'MATLAB', 'MachineLearning', 'OpenCV', 'PyTorch', 'Python(ProgrammingLanguage)', 'TensorFlow']",51-200 employees , Staffing and Recruiting," Orange County, CA",6 days ago
Software Engineer,ProSearch ,268872,Full-time,Remote,"['BusinessAnalytics', 'BusinessIntelligence(BI)', 'DAX', 'Dashboards', 'DataModeling', 'DataModels', 'MicrosoftPowerBI', 'SecurityCompliance', 'SecurityImplementation', 'UserDocumentation']",201-500 employees , Staffing and Recruiting," Portland, ME",1 week ago
Software Engineer,Tyler Technologies ,39739,Full-time,On-site,"['AmazonWebServices(AWS)', 'C#', 'SQL']","5,001-10,000 employees ", Software Development," College Station, TX",5 days ago
Software Engineer,Iris Software Inc. ,368803,Full-time,Hybrid,"['AmazonWebServices(AWS)', 'Angular', 'AngularMaterial', 'Full-StackDevelopment', 'Java', 'Microservices', 'Object-OrientedProgramming(OOP)', 'Python(ProgrammingLanguage)', 'SoftwareDesign', 'SoftwareDevelopmentLifeCycle(SDLC)']","1,001-5,000 employees ", IT Services and IT Consulting," Newark, NJ",6 days ago
,"WA Department of Children, Youth, and Families ",68406,Full-time,On-site,"['ChildProtectiveServices', 'ChildWelfare', 'SocialServices']","1,001-5,000 employees",," Kent, WA",6 days ago
