Job_Title,Company_Name,Salary,Working_Status,Working_Type,Skills,Employee,Industry,Location,Date
Java Developer,"Tucker-Rose Associates, LLC ",,Full-time,Remote,"['Java', 'ContinuousIntegration', 'ContinuousDelivery(CI/CD)', 'Hibernate', 'JakartaPersistence', 'JavaFrameworks', 'JavaScript', 'OpenShift', 'SOAP', 'Tomcat', 'WebLogic']",51-200 employees , IT Services and IT Consulting, United States,1 week ago
Principal Software Engineer,Synqly ,,Full-time,Remote,"['Back-EndWebDevelopment', 'Early-StageStartups', 'Git', 'Go(ProgrammingLanguage)', 'Kubernetes', 'PassionateaboutWork', 'PresentationSkills', 'SkillDevelopment', 'SoftwareasaService(SaaS)', 'Test-DrivenDevelopment']",1-10 employees,, San Francisco Bay Area,3 days ago
Software Engineer,Power Breezer ,"$80,000/yr - $100,000/yr ",Full-time,Hybrid,"['.NETFramework', 'C#', 'CleanCoding', 'Engineering', 'EntityFramework', 'Learning', 'React.js', 'SkillDevelopment', 'SoftwareDevelopment', 'TechSavy']",51-200 employees,," Charlotte, NC",1 week ago
Software Engineer- Intern,Lockheed Martin ,,Full-time,Hybrid,"['Java', 'C(ProgrammingLanguage)', 'C#', 'Communication', 'ComputerEngineering', 'ComputerScience', 'InterpersonalSkills', 'Object-orientedSoftware', 'OralCommunication', 'SoftwareDevelopment']","10,001+ employees ", Defense and Space Manufacturing," Littleton, CO",1 week ago
Senior Software Engineer,ADARA Networks ,,Full-time,Remote,"['C++', 'C(ProgrammingLanguage)', 'IPAddressing', 'Iptables', 'OpenvSwitch', 'POSIX', 'RoutingProtocols', 'SocketProgramming']",51-200 employees,, United States,1 week ago
Software Engineer,Career Climbers ,,Full-time,Hybrid,"['.NETFramework', 'CodeReview', 'KafkaStreams', 'Learning', 'Microservices', 'Operations', 'Plays', 'ProtocolBuffers', 'SkillDevelopment', 'SoftwareSolutions']",1-10 employees,, Greater Chicago Area,1 week ago
Site Reliability Engineer - IT,Jaco ,"$120,000/yr - $140,000/yr + Bonus ",Full-time,On-site,"['CapacityPlanning', 'ComputerScience', 'ConstructiveFeedback', 'H', 'leConfidentialInformation', 'JSON', 'ManagementInformationSystems(MIS)', 'Multi-UnitManagement', 'PointofSale(POS)Systems', 'RootCause', 'RootCauseAnalysis']",201-500 employees,," Bakersfield, CA",6 days ago
ServiceNow,Hexaware Technologies ,,Full-time,On-site,"['ActiveDirectory', 'Angular', 'BusinessRules', 'Dashboards', 'DataArchitecture', 'LDAP', 'Pages', 'ServiceNow', 'Tableau', 'TestPlanning']","10,001+ employees ", IT Services and IT Consulting," McLean, VA",6 days ago
"Software Development Engineer, UTR Tech",Amazon ,"$134,500/yr - $261,500/yr (from job description) ",Full-time,On-site,"['CodingSt', 'ards', 'ProgrammableLogicController(PLC)', 'Programming', 'ProgrammingLanguages', 'Prototyping']","10,001+ employees ", Software Development," Bellevue, WA Reposted  2 weeks ago",2 weeks ago
Software Engineer (Symitar - OpCon),Alliant Credit Union ,,Full-time,Hybrid,"['ApplicationDevelopment', 'BusinessSolutionsDevelopment', 'ComputerScience', 'KnowledgeAcquisition', 'ProcessEnhancement', 'ProgrammingConcepts', 'SoftwareDevelopmentTools', 'SoftwareSolutionDevelopment', 'Stack', 'StructuredProgramming']","501-1,000 employees ", Financial Services," Chicago, IL",5 days ago
Software Engineer Intern,Khan Academy ,,Full-time,Remote,"['CulturalCompetency', 'Fosteringinclusivity', 'PerformanceMotivation']",51-200 employees , E-Learning Providers," Mountain View, CA",5 hours ago
Entry level computer engineer,Revature ,,Full-time,On-site,"['C(ProgrammingLanguage)', 'C#', 'C++', 'CascadingStyleSheets(CSS)', 'Django', 'HTML', 'Java', 'JavaScript', 'Node.js', 'SQL']","1,001-5,000 employees ", IT Services and IT Consulting," Cherry Hill, NJ",6 days ago
Sharepoint Developer,BeaconFire Inc. ,,Full-time,On-site,"['ASP.NET', 'C#', 'CascadingStyleSheets(CSS)', 'HTML', 'JavaScript', 'Office365', 'Powershell', 'SharePoint', 'SharePointAdministration', 'SoftwareDevelopmentLifeCycle(SDLC)']",201-500 employees , IT Services and IT Consulting," Atlanta, GA",6 days ago
"Software Engineer (Moline, IL)",John Deere ,,Full-time,On-site,"['ABAP', 'ALE', 'AugmentedReality(AR)', 'CPI', 'SAPERP', 'SAPFICO', 'SAPFiori', 'SAPXI', 'ServiceWork', 'StatutoryAccountingPrinciples(SAP)']","10,001+ employees ", Machinery Manufacturing," Moline, IL",5 days ago
